threshold,coverage,sensitivity,specificity,accuracy,f1,n_samples,meets_medical_req
0.1,0.9898340027725447,0.9444444444444444,0.9774440333926822,0.9774379389418711,0.015226153157187642,194929,True
0.15000000000000002,0.9850963027659434,0.9444444444444444,0.9790884718498659,0.9790820429287201,0.01648085312651478,193996,True
0.20000000000000004,0.9798812782141969,0.9444444444444444,0.9806253984543857,0.9806186485912245,0.017857142857142856,192969,True
0.25000000000000006,0.9741229161482956,0.9444444444444444,0.9821479778309584,0.9821409023379467,0.019461934745277618,191835,True
0.30000000000000004,0.9682325281443754,0.9444444444444444,0.9835762881676887,0.9835688999606661,0.021243361449547016,190675,True
0.3500000000000001,0.9614027248122439,0.9444444444444444,0.9849387724914683,0.9849310727301537,0.02327969873331051,189330,True
0.40000000000000013,0.9540041943624924,0.9444444444444444,0.9860144699926,0.9860065043939257,0.02521319985168706,187873,True
0.45000000000000007,0.945569768091362,0.9444444444444444,0.9869370917841183,0.9869288767641183,0.027178257394084734,186212,True
0.5000000000000001,0.9356982902641027,0.9444444444444444,0.9880205393199878,0.9880120259621855,0.029863855950812472,184268,True
0.5500000000000002,0.9238870467321041,0.9444444444444444,0.9891427440546217,0.9891338998142265,0.033251833740831294,181942,True
0.6000000000000002,0.9091255312774525,0.9714285714285714,0.9900558659217877,0.9900522244253916,0.03677663601946998,179035,True
0.6500000000000001,0.8893013288918453,0.9714285714285714,0.9908507333120117,0.990846851785235,0.040694195092758824,175131,True
0.7000000000000002,0.8626727127775718,0.9714285714285714,0.9917751925205474,0.9917710007240107,0.04638472032742155,169887,True
0.7500000000000002,0.822211840695472,0.9714285714285714,0.9924699167304983,0.9924653684867125,0.052795031055900624,161919,True
0.8000000000000002,0.7574531180972015,1.0,0.9930665915659177,0.993068125444136,0.06000000000000001,149166,True
0.8500000000000002,0.6472419273755783,1.0,0.9931883637162655,0.9931901272536129,0.07066381156316917,127462,True
0.9000000000000002,0.4702154561750055,1.0,0.9923193259155234,0.9923218142548597,0.07782101167315175,92600,True
0.9500000000000003,0.2234539000969883,1.0,0.9881545142441398,0.9881604363140553,0.07787610619469028,44005,True
